2026-09-01 08:39:15.127 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/ttuser/.cache/ttnn,model_cache_path=/home/ttuser/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,validate_program_args=false,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
  model size: 1024 (tt-tnt-1024.yaml)
  model impl: python (ttml's Python Llama via train.model; SDPA causal, mask dropped)
  seq_len: 512 (explicit; equals the size's max_sequence_length)
  checkpoints: artifacts/checkpoints-winpurity-v4-s8191
  ddp: 4 chips, mesh [1, 4], 16 sequences/chip (effective batch stays 64; step budget and LR unchanged)
  optimizer overridden from train/configs/nanollama3_bpe_v2.yaml: {'type': 'AdamW', 'lr': 0.0003, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-08, 'weight_decay': 0.01, 'amsgrad': False, 'stochastic_rounding': True}
  stochastic_rounding: True
  lr schedule: constant at 3.000e-04 (set_lr never called)
  seed: 8191 (default is 5489)
tt-tnt training — steps=10719 batch=64 seq_len=512 arch=blackhole
  mesh graph descriptor: /home/ttuser/code/tt-tnt/train/configs/mesh/mesh-1x4.textproto
  train tokens=352,641,058  val tokens=39,182,335
  parallelism context: DDP over 4 devices on mesh axis 1 (gradients will be all-reduced and divided by 4)
note: the progress bar's val_loss is ttml's placeholder (a copy of train_loss); the real validation loss is computed after training and printed below.
  run manifest: artifacts/checkpoints-winpurity-v4-s8191/run_manifest.json

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:00<02:04,  4.01it/s, train_loss=10.6562, val_loss=10.6562]
  0%|          | 2/500 [00:00<01:43,  4.81it/s, train_loss=9.8594, val_loss=10.6562] 
  1%|          | 3/500 [00:00<01:37,  5.08it/s, train_loss=9.0781, val_loss=10.6562]
  1%|          | 4/500 [00:00<01:35,  5.20it/s, train_loss=8.8125, val_loss=10.6562]
  1%|          | 5/500 [00:00<01:33,  5.31it/s, train_loss=8.5312, val_loss=10.6562]
  1%|          | 6/500 [00:01<01:32,  5.36it/s, train_loss=8.2500, val_loss=10.6562]
  1%|▏         | 7/500 [00:01<01:31,  5.39it/s, train_loss=8.1328, val_loss=10.6562]
  2%|▏         | 8/500 [00:01<01:31,  5.40it/s, train_loss=7.8984, val_loss=10.6562]
  2%|▏         | 9/500 [00:01<01:31,  5.38it/s, train_loss=7.7812, val_loss=10.6562]
  2%|▏         | 10/500 [00:01<01:31,  5.37it/s, train_loss=7.6562, val_loss=7.6562]
  2%|▏         | 11/500 [00:02<01:30,  5.39it/s, train_loss=7.6016, val_loss=7.6562]
  2%|▏         | 12/500 [00:02<01:30,  5.41it/s, train_loss=7.5156, val_loss=7.6562]
  3%|▎         | 13/500 [00:02<01:29,  5.42it/s, train_loss=7.4141, val_loss=7.6562]
  3%|▎         | 14/500 [00:02<01:30,  5.39it/s, train_loss=7.2969, val_loss=7.6562]
  3%|▎         | 15/500 [00:02<01:29,  5.41it/s, train_loss=7.3750, val_loss=7.6562]
  3%|▎         | 16/500 [00:03<01:29,  5.42it/s, train_loss=7.1641, val_loss=7.6562]
  3%|▎         | 17/500 [00:03<01:29,  5.41it/s, train_loss=7.2656, val_loss=7.6562]
  4%|▎         | 18/500 [00:03<01:29,  5.41it/s, train_loss=7.4531, val_loss=7.6562]
  4%|▍         | 19/500 [00:03<01:29,  5.40it/s, train_loss=7.2109, val_loss=7.6562]
  4%|▍         | 20/500 [00:03<01:28,  5.41it/s, train_loss=7.2812, val_loss=7.2812]
  4%|▍         | 21/500 [00:03<01:28,  5.39it/s, train_loss=7.3594, val_loss=7.2812]
  4%|▍         | 22/500 [00:04<01:28,  5.37it/s, train_loss=7.4766, val_loss=7.2812]
  5%|▍         | 23/500 [00:04<01:28,  5.38it/s, train_loss=7.2578, val_loss=7.2812]
  5%|▍         | 24/500 [00:04<01:28,  5.40it/s, train_loss=7.2188, val_loss=7.2812]
  5%|▌         | 25/500 [00:04<01:27,  5.40it/s, train_loss=7.3203, val_loss=7.2812]
  5%|▌         | 26/500 [00:04<01:27,  5.42it/s, train_loss=7.2031, val_loss=7.2812]
  5%|▌         | 27/500 [00:05<01:27,  5.42it/s, train_loss=7.0938, val_loss=7.2812]
  6%|▌         | 28/500 [00:05<01:27,  5.42it/s, train_loss=7.1719, val_loss=7.2812]
  6%|▌         | 29/500 [00:05<01:26,  5.44it/s, train_loss=7.3516, val_loss=7.2812]
  6%|▌         | 30/500 [00:05<01:26,  5.40it/s, train_loss=7.1016, val_loss=7.1016]
  6%|▌         | 31/500 [00:05<01:26,  5.39it/s, train_loss=7.1094, val_loss=7.1016]
  6%|▋         | 32/500 [00:05<01:26,  5.39it/s, train_loss=7.1953, val_loss=7.1016]
  7%|▋         | 33/500 [00:06<01:26,  5.40it/s, train_loss=7.1562, val_loss=7.1016]
  7%|▋         | 34/500 [00:06<01:26,  5.39it/s, train_loss=7.1406, val_loss=7.1016]
  7%|▋         | 35/500 [00:06<01:25,  5.41it/s, train_loss=7.2500, val_loss=7.1016]
  7%|▋         | 36/500 [00:06<01:26,  5.38it/s, train_loss=7.3750, val_loss=7.1016]
  7%|▋         | 37/500 [00:06<01:25,  5.39it/s, train_loss=7.1094, val_loss=7.1016]
  8%|▊         | 38/500 [00:07<01:25,  5.41it/s, train_loss=7.1719, val_loss=7.1016]
  8%|▊         | 39/500 [00:07<01:25,  5.42it/s, train_loss=7.3281, val_loss=7.1016]
  8%|▊         | 40/500 [00:07<01:27,  5.25it/s, train_loss=7.1719, val_loss=7.1719]
  8%|▊         | 41/500 [00:07<01:26,  5.29it/s, train_loss=7.1250, val_loss=7.1719]
  8%|▊         | 42/500 [00:07<01:26,  5.30it/s, train_loss=7.1797, val_loss=7.1719]
  9%|▊         | 43/500 [00:08<01:26,  5.30it/s, train_loss=7.3672, val_loss=7.1719]
  9%|▉         | 44/500 [00:08<01:25,  5.32it/s, train_loss=7.1484, val_loss=7.1719]
  9%|▉         | 45/500 [00:08<01:25,  5.30it/s, train_loss=6.8672, val_loss=7.1719]
  9%|▉         | 46/500 [00:08<01:25,  5.33it/s, train_loss=7.0625, val_loss=7.1719]
  9%|▉         | 47/500 [00:08<01:25,  5.31it/s, train_loss=7.1016, val_loss=7.1719]
 10%|▉         | 48/500 [00:08<01:24,  5.33it/s, train_loss=7.1641, val_loss=7.1719]
 10%|▉         | 49/500 [00:09<01:24,  5.36it/s, train_loss=6.9297, val_loss=7.1719]
 10%|█         | 50/500 [00:09<01:25,  5.24it/s, train_loss=7.0469, val_loss=7.0469]
 10%|█         | 51/500 [00:09<01:24,  5.31it/s, train_loss=7.0703, val_loss=7.0469]
 10%|█         | 52/500 [00:09<01:24,  5.28it/s, train_loss=6.9141, val_loss=7.0469]
 11%|█         | 53/500 [00:09<01:24,  5.28it/s, train_loss=7.0234, val_loss=7.0469]
 11%|█         | 54/500 [00:10<01:24,  5.31it/s, train_loss=6.8672, val_loss=7.0469]
 11%|█         | 55/500 [00:10<01:23,  5.31it/s, train_loss=7.0000, val_loss=7.0469]
 11%|█         | 56/500 [00:10<01:23,  5.29it/s, train_loss=6.9844, val_loss=7.0469]
 11%|█▏        | 57/500 [00:10<01:22,  5.34it/s, train_loss=6.9375, val_loss=7.0469]
 12%|█▏        | 58/500 [00:10<01:23,  5.27it/s, train_loss=6.8750, val_loss=7.0469]
 12%|█▏        | 59/500 [00:11<01:23,  5.27it/s, train_loss=6.7500, val_loss=7.0469]
 12%|█▏        | 60/500 [00:11<01:22,  5.31it/s, train_loss=6.8906, val_loss=6.8906]
 12%|█▏        | 61/500 [00:11<01:22,  5.30it/s, train_loss=6.8672, val_loss=6.8906]
 12%|█▏        | 62/500 [00:11<01:22,  5.30it/s, train_loss=6.4453, val_loss=6.8906]
 13%|█▎        | 63/500 [00:11<01:22,  5.32it/s, train_loss=6.5156, val_loss=6.8906]
 13%|█▎        | 64/500 [00:11<01:21,  5.32it/s, train_loss=6.8359, val_loss=6.8906]
 13%|█▎        | 65/500 [00:12<01:21,  5.33it/s, train_loss=6.6406, val_loss=6.8906]
 13%|█▎        | 66/500 [00:12<01:21,  5.32it/s, train_loss=6.5391, val_loss=6.8906]
 13%|█▎        | 67/500 [00:12<01:21,  5.33it/s, train_loss=6.7891, val_loss=6.8906]
 14%|█▎        | 68/500 [00:12<01:21,  5.32it/s, train_loss=6.3672, val_loss=6.8906]
 14%|█▍        | 69/500 [00:12<01:20,  5.33it/s, train_loss=6.7578, val_loss=6.8906]
 14%|█▍        | 70/500 [00:13<01:20,  5.32it/s, train_loss=6.7031, val_loss=6.7031]
 14%|█▍        | 71/500 [00:13<01:20,  5.34it/s, train_loss=6.6406, val_loss=6.7031]
 14%|█▍        | 72/500 [00:13<01:20,  5.32it/s, train_loss=6.6562, val_loss=6.7031]
 15%|█▍        | 73/500 [00:13<01:20,  5.30it/s, train_loss=6.4844, val_loss=6.7031]
 15%|█▍        | 74/500 [00:13<01:20,  5.29it/s, train_loss=6.7656, val_loss=6.7031]
 15%|█▌        | 75/500 [00:14<01:20,  5.31it/s, train_loss=6.3594, val_loss=6.7031]
 15%|█▌        | 76/500 [00:14<01:19,  5.32it/s, train_loss=6.4688, val_loss=6.7031]
 15%|█▌        | 77/500 [00:14<01:19,  5.32it/s, train_loss=6.4609, val_loss=6.7031]
 16%|█▌        | 78/500 [00:14<01:19,  5.29it/s, train_loss=6.5703, val_loss=6.7031]
 16%|█▌        | 79/500 [00:14<01:21,  5.20it/s, train_loss=6.5156, val_loss=6.7031]
 16%|█▌        | 80/500 [00:15<01:20,  5.24it/s, train_loss=6.4922, val_loss=6.4922]
 16%|█▌        | 81/500 [00:15<01:20,  5.24it/s, train_loss=6.4766, val_loss=6.4922]
 16%|█▋        | 82/500 [00:15<01:19,  5.27it/s, train_loss=6.4531, val_loss=6.4922]
 17%|█▋        | 83/500 [00:15<01:18,  5.29it/s, train_loss=6.6094, val_loss=6.4922]
 17%|█▋        | 84/500 [00:15<01:18,  5.30it/s, train_loss=6.3047, val_loss=6.4922]
 17%|█▋        | 85/500 [00:15<01:18,  5.32it/s, train_loss=6.1562, val_loss=6.4922]
 17%|█▋        | 86/500 [00:16<01:17,  5.33it/s, train_loss=6.2969, val_loss=6.4922]
 17%|█▋        | 87/500 [00:16<01:17,  5.35it/s, train_loss=6.4922, val_loss=6.4922]
 18%|█▊        | 88/500 [00:16<01:19,  5.21it/s, train_loss=6.1094, val_loss=6.4922]
 18%|█▊        | 89/500 [00:16<01:17,  5.33it/s, train_loss=6.3516, val_loss=6.4922]
 18%|█▊        | 90/500 [00:16<01:16,  5.36it/s, train_loss=6.2422, val_loss=6.2422]
 18%|█▊        | 91/500 [00:17<01:16,  5.33it/s, train_loss=6.3047, val_loss=6.2422]
 18%|█▊        | 92/500 [00:17<01:16,  5.33it/s, train_loss=6.2656, val_loss=6.2422]
 19%|█▊        | 93/500 [00:17<01:16,  5.34it/s, train_loss=6.2656, val_loss=6.2422]
 19%|█▉        | 94/500 [00:17<01:16,  5.32it/s, train_loss=6.1641, val_loss=6.2422]
 19%|█▉        | 95/500 [00:17<01:16,  5.31it/s, train_loss=6.1094, val_loss=6.2422]
